status,product_area,response,justification,request_type
escalated,account-management,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'restore my access'. Requires human review.,product_issue
escalated,screen,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'review my answers'. Requires human review.,product_issue
escalated,consumer,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'refund'. Requires human review.,product_issue
escalated,interviews,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'refund'. Requires human review.,product_issue
escalated,billing,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'payment'. Requires human review.,product_issue
escalated,integrations,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'infosec'. Requires human review.,product_issue
replied,general,"1. Upload your resume to enable QuickApply to pre-fill your job applications. 2. Add any missing details, such as: - Personal information - Education - Work experience",Answer grounded in hackerrank support documentation (7358354033 Set Up Quick Apply). Confidence: 1.00,product_issue
escalated,screen,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'none of the submissions'. Requires human review.,product_issue
replied,screen,"- Calls connect automatically through Zoom when an interview starts. - High-quality audio and video are maintained, even on slow internet connections. - Video can be turned off to preserve audio quality in low-bandwidth scenarios. - Calls automatically reconnect if the network drops and is restored within two minutes. Interviewers and candidates can share their screens during interviews to improve collaboration and communication...",Answer grounded in hackerrank support documentation (6271433412 Audio And Video Calls In Interviews Powered By Zoom). Confidence: 1.00,bug
replied,screen,"- **Review escalated issues:** The Support team reviews candidate tickets that report basic technical issues and test administration inquiries in real time, but investigates deeper issues only when your recruiter or hiring team escalates them. **Note:** When candidates contact HackerRank Support directly, the team assists with troubleshooting and records any technical findings that may indicate a broader platform issue...",Answer grounded in hackerrank support documentation (6477583642 Ensuring A Great Candidate Experience). Confidence: 1.00,product_issue
replied,screen,Company Admins can configure a session inactivity timeout to enhance security and ensure compliance. Inactive sessions will automatically log out after the set threshold. **Steps to Configure Timeout for Inactive Sessions**: 1. Log in to your **HackerRank for Work** account. 2. Click the **Settings** option in the top-right dropdown menu. 3. Select **Compliance & Security** from the left-hand panel on the **Settings** page.,Answer grounded in hackerrank support documentation (7425207053 Enhancing Your Account Security On Hackerrank For Work). Confidence: 1.00,product_issue
escalated,general,Unable to find reliable answer. Requires human review.,Unable to find reliable answer. Requires human review.,bug
replied,accounts,"The platform transfers resources and locks the selected users. The account remains available for reuse.\ Locked users cannot log in and see an error message if they attempt to access the platform. **Note:** If a user belongs to only one team, removing the user from that team or deleting the team locks the user. You can unlock a user account to restore access to the platform at any time. To unlock user access:",Answer grounded in hackerrank support documentation (6534774997 Locking User Access From Hackerrank). Confidence: 1.00,product_issue
replied,billing,"The **Pause Subscription** feature allows individual self-serve plan subscribers to temporarily pause their HackerRank subscription instead of canceling it. This feature enables you to resume your subscription whenever needed, ensuring flexibility and uninterrupted access when required. To use the **Pause Subscription** feature, ensure the following conditions are met: 1. You must have an active subscription that started at least 30 days ago...",Answer grounded in hackerrank support documentation (5157311476 Pause Subscription). Confidence: 1.00,product_issue
escalated,general,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'all requests are failing'. Requires human review.,bug
replied,general_support,"Visit our Lost or Stolen card page – if the identity theft involves your Visa card – to learn how to cancel your card or get an emergency replacement card. You can find answers to common questions about travelling – like the availability of ATMs, emergency services and how to get help when you’re abroad – in Travel Support. If you have questions about whether or not you need to inform your issuer that you’re travelling and using your Visa card overseas, please refer to your card issuer’s site...",Answer grounded in visa support documentation (Support). Confidence: 1.00,product_issue
replied,community,3. Select **Resume Builder** from the dropdown menu. 4. Click **Create New**. 5. Select a template: - Classic - Modern,Answer grounded in hackerrank support documentation (9106957203 Create A Resume With Resume Builder). Confidence: 1.00,bug
replied,community,To download a certificate: 1. Log in to HackerRank Community using your credentials. 2. Click the profile icon in the top-right corner. 3. Select **Profile** from the drop-down menu. 4. Scroll to the **My Certifications** section.,Answer grounded in hackerrank support documentation (2077861863 Download Certificate). Confidence: 1.00,product_issue
replied,merchant,"To dispute a charge, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card. In many cases, your issuer or bank will require detailed information regarding the transaction before resolving the disputed charge...",Answer grounded in visa support documentation (Support). Confidence: 1.00,product_issue
escalated,safety,I can't safely resolve this directly from the support corpus. A support specialist should review it.,Sensitive or high-risk request detected: 'vulnerability'. Requires human review.,product_issue
